id,condition,expected_answer,audio_path,operation,params_json
aNfGZAqp29M_00-00-00_00-00-04,change,The first half was played slowly,data/audio/change/aNfGZAqp29M_00-00-00_00-00-04__change.wav,swap,"{""a_end"": 2.0, ""a_start"": 0.0, ""b_end"": 4.0, ""b_start"": 2.0}"
aNfGZAqp29M_00-00-00_00-00-04,preserve,The second half was played slowly,data/audio/preserve/aNfGZAqp29M_00-00-00_00-00-04__preserve.wav,gain,"{""db"": -3, ""end"": 4.0, ""start"": 0.0}"
rgdTe8EzC4Y_00-00-02_00-00-31,change,Gradually decrease,data/audio/change/rgdTe8EzC4Y_00-00-02_00-00-31__change.wav,reverse,"{""end"": 29.0, ""start"": 0.0}"
rgdTe8EzC4Y_00-00-02_00-00-31,preserve,Gradually increase,data/audio/preserve/rgdTe8EzC4Y_00-00-02_00-00-31__preserve.wav,gain,"{""db"": -3, ""end"": 29.0, ""start"": 0.0}"
FktR_jf0EyU_00-00-00_00-00-25,change,12,data/audio/change/FktR_jf0EyU_00-00-00_00-00-25__change.wav,mute,"{""end"": 13.8, ""start"": 11.0}"
FktR_jf0EyU_00-00-00_00-00-25,preserve,15,data/audio/preserve/FktR_jf0EyU_00-00-00_00-00-25__preserve.wav,gain,"{""db"": -3, ""end"": 25.0, ""start"": 0.0}"
BV1wA411q7H7_00-01-30_00-01-45,change,Four times,data/audio/change/BV1wA411q7H7_00-01-30_00-01-45__change.wav,mute,"{""end"": 7.48, ""start"": 7.15}"
BV1wA411q7H7_00-01-30_00-01-45,preserve,Five times,data/audio/preserve/BV1wA411q7H7_00-01-30_00-01-45__preserve.wav,gain,"{""db"": -3, ""end"": 15.0, ""start"": 0.0}"
BV1cZFzeqETG_00-08-00_00-08-08,change,3,data/audio/change/BV1cZFzeqETG_00-08-00_00-08-08__change.wav,mute,"{""end"": 4.95, ""start"": 4.42}"
BV1cZFzeqETG_00-08-00_00-08-08,preserve,4,data/audio/preserve/BV1cZFzeqETG_00-08-00_00-08-08__preserve.wav,gain,"{""db"": -3, ""end"": 8.0, ""start"": 0.0}"
zoUVBrZzJ1c_00-00-00_00-00-16,change,5 times,data/audio/change/zoUVBrZzJ1c_00-00-00_00-00-16__change.wav,mute,"{""end"": 5.65, ""start"": 4.78}"
zoUVBrZzJ1c_00-00-00_00-00-16,preserve,6 times,data/audio/preserve/zoUVBrZzJ1c_00-00-00_00-00-16__preserve.wav,gain,"{""db"": -3, ""end"": 16.0, ""start"": 0.0}"
BV1a4421F7Bx_00-02-31_00-02-46,change,"The sound is normal, no anomalies",data/audio/change/BV1a4421F7Bx_00-02-31_00-02-46__change.wav,reverse,"{""end"": 15.0, ""start"": 0.0}"
BV1a4421F7Bx_00-02-31_00-02-46,preserve,Sounds like it was played backward,data/audio/preserve/BV1a4421F7Bx_00-02-31_00-02-46__preserve.wav,gain,"{""db"": -3, ""end"": 15.0, ""start"": 0.0}"
BV1v3411V7ES_00-00-00_00-00-20,change,12th second,data/audio/change/BV1v3411V7ES_00-00-00_00-00-20__change.wav,pad_front,"{""seconds"": 2.0}"
BV1v3411V7ES_00-00-00_00-00-20,preserve,10th second,data/audio/preserve/BV1v3411V7ES_00-00-00_00-00-20__preserve.wav,gain,"{""db"": -3, ""end"": 20.0, ""start"": 0.0}"
BV1624y1u7Fj_0-00_0-30,change,Around the 22nd second,data/audio/change/BV1624y1u7Fj_0-00_0-30__change.wav,pad_front,"{""seconds"": 3.0}"
BV1624y1u7Fj_0-00_0-30,preserve,Around the 19th second,data/audio/preserve/BV1624y1u7Fj_0-00_0-30__preserve.wav,gain,"{""db"": -3, ""end"": 30.0, ""start"": 0.0}"
BV17r4y1C7KB_00-00-28_00-00-58,change,From 11 seconds,data/audio/change/BV17r4y1C7KB_00-00-28_00-00-58__change.wav,trim_front,"{""seconds"": 5.0}"
BV17r4y1C7KB_00-00-28_00-00-58,preserve,From 16 seconds,data/audio/preserve/BV17r4y1C7KB_00-00-28_00-00-58__preserve.wav,gain,"{""db"": -3, ""end"": 30.0, ""start"": 0.0}"
OdXmQoLL15w_00-00-00_00-00-09,change,No,data/audio/change/OdXmQoLL15w_00-00-00_00-00-09__change.wav,tempo,"{""factor"": 2.0}"
OdXmQoLL15w_00-00-00_00-00-09,preserve,Yes,data/audio/preserve/OdXmQoLL15w_00-00-00_00-00-09__preserve.wav,gain,"{""db"": -3, ""end"": 9.0, ""start"": 0.0}"
BV1fZ4y1W7ZU_1-42_1-47,change,"The audio quality of the second segment is poor, with clipping distortion",data/audio/change/BV1fZ4y1W7ZU_1-42_1-47__change.wav,rotate,"{""split"": 5.05}"
BV1fZ4y1W7ZU_1-42_1-47,preserve,"The audio quality of the first segment is poor, with clipping distortion",data/audio/preserve/BV1fZ4y1W7ZU_1-42_1-47__preserve.wav,gain,"{""db"": -1, ""end"": 14.02, ""start"": 0.0}"
mJNRMhm_Bfc_00-00-00_00-00-29,change,Approximately 15 seconds,data/audio/change/mJNRMhm_Bfc_00-00-00_00-00-29__change.wav,trim_front,"{""seconds"": 10.0}"
mJNRMhm_Bfc_00-00-00_00-00-29,preserve,Approximately 25 seconds,data/audio/preserve/mJNRMhm_Bfc_00-00-00_00-00-29__preserve.wav,gain,"{""db"": -3, ""end"": 60.0, ""start"": 0.0}"
o7BZXrnbC1o_00-00-00_00-00-09,change,2-7s,data/audio/change/o7BZXrnbC1o_00-00-00_00-00-09__change.wav,pad_front,"{""seconds"": 1.0}"
o7BZXrnbC1o_00-00-00_00-00-09,preserve,1-6s,data/audio/preserve/o7BZXrnbC1o_00-00-00_00-00-09__preserve.wav,gain,"{""db"": -3, ""end"": 60.0, ""start"": 0.0}"
8CDI_UdPLSQ_00-00-00_00-00-16,change,Between the 13th second and the 14th second,data/audio/change/8CDI_UdPLSQ_00-00-00_00-00-16__change.wav,pad_front,"{""seconds"": 2.0}"
