run,configuration,metric,numerator_min,numerator_max,denominator_min,denominator_max,percent_min,percent_max
A,qwen_omni_nonthinking,Acc0,22,22,48,48,45.833333333333336,45.833333333333336
A,qwen_omni_nonthinking,CAA_OC,9,9,22,22,40.90909090909091,40.90909090909091
A,qwen_omni_nonthinking,IPS_OC,21,21,22,22,95.45454545454545,95.45454545454545
A,qwen_omni_nonthinking,TextAcc,22,22,48,48,45.833333333333336,45.833333333333336
A,qwen_omni_nonthinking,AN,8,8,48,48,16.666666666666668,16.666666666666668
A,qwen_omni_nonthinking,CAA_AN,2,2,8,8,25.0,25.0
A,qwen_omni_nonthinking,IPS_AN,8,8,8,8,100.0,100.0
A,qwen_omni_nonthinking,SCG,2,2,48,48,4.166666666666667,4.166666666666667
A,qwen_omni_thinking,Acc0,20,20,48,48,41.666666666666664,41.666666666666664
A,qwen_omni_thinking,CAA_OC,10,10,20,20,50.0,50.0
A,qwen_omni_thinking,IPS_OC,15,15,20,20,75.0,75.0
A,qwen_omni_thinking,TextAcc,19,19,48,48,39.583333333333336,39.583333333333336
A,qwen_omni_thinking,AN,9,9,48,48,18.75,18.75
A,qwen_omni_thinking,CAA_AN,5,5,9,9,55.55555555555556,55.55555555555556
A,qwen_omni_thinking,IPS_AN,6,6,9,9,66.66666666666667,66.66666666666667
A,qwen_omni_thinking,SCG,2,2,48,48,4.166666666666667,4.166666666666667
A,gemini_302_flash,Acc0,20,20,48,48,41.666666666666664,41.666666666666664
A,gemini_302_flash,CAA_OC,6,6,20,20,30.0,30.0
A,gemini_302_flash,IPS_OC,11,11,20,20,55.0,55.0
A,gemini_302_flash,TextAcc,15,15,48,48,31.25,31.25
A,gemini_302_flash,AN,16,16,48,48,33.333333333333336,33.333333333333336
A,gemini_302_flash,CAA_AN,4,4,16,16,25.0,25.0
A,gemini_302_flash,IPS_AN,9,9,16,16,56.25,56.25
A,gemini_302_flash,SCG,2,2,48,48,4.166666666666667,4.166666666666667
A,gemini_302_pro,Acc0,28,28,48,48,58.333333333333336,58.333333333333336
A,gemini_302_pro,CAA_OC,13,13,28,28,46.42857142857143,46.42857142857143
A,gemini_302_pro,IPS_OC,23,23,28,28,82.14285714285714,82.14285714285714
A,gemini_302_pro,TextAcc,17,17,48,48,35.416666666666664,35.416666666666664
A,gemini_302_pro,AN,14,14,48,48,29.166666666666668,29.166666666666668
A,gemini_302_pro,CAA_AN,7,7,14,14,50.0,50.0
A,gemini_302_pro,IPS_AN,11,11,14,14,78.57142857142857,78.57142857142857
A,gemini_302_pro,SCG,5,5,48,48,10.416666666666666,10.416666666666666
B,qwen_omni_nonthinking,Acc0,22,22,48,48,45.833333333333336,45.833333333333336
B,qwen_omni_nonthinking,CAA_OC,9,9,22,22,40.90909090909091,40.90909090909091
